MRP,processor,RAM,os,RAM TYPE,Brand,ROM_SIZE,ROM_TYPE
52990,Intel Core i7 Processor,16 GB,Windows 11 Operating System,LPDDR4X RAM,Infinix,512 GB,SSD
85990,AMD Ryzen 7 Octa Core Processor,16 GB,Windows 11 Operating System,DDR4 RAM,ASUS,1 TB,SSD
31990,Intel Core i3 Processor,8 GB,Windows 11 Operating System,DDR4 RAM,RedmiBook,256 GB,SSD
66990,AMD Ryzen 5 Hexa Core Processor,16 GB,Windows 11 Operating System,DDR4 RAM,acer,512 GB,SSD
89081,,16 GB,Windows 11 Operating System,DDR4 RAM,DELL,512 GB,SSD
36990,Intel Core i3 Processor,8 GB,Windows 11 Operating System,DDR4 RAM,Lenovo,256 GB,SSD
104990,M1 Processor,8 GB,Mac OS Operating System,DDR4 RAM,APPLE,512 GB,SSD
53490,Intel Core i5 Processor,8 GB,Windows 11 Operating System,DDR4 RAM,Lenovo,512 GB,SSD
45990,Intel Core i3 Processor,8 GB,Windows 11 Operating System,LPDDR4X RAM,ASUS,256 GB,SSD
39990,Intel Core i3 Processor,8 GB,Windows 11 Operating System,DDR4 RAM,Lenovo,512 GB,SSD
45990,Intel Core i3 Processor,8 GB,Windows 11 Operating System,DDR4 RAM,ASUS,512 GB,SSD
51990,Intel Core i5 Processor,8 GB,Windows 11 Operating System,DDR4 RAM,MSI,512 GB,SSD
75990,AMD Ryzen 7 Octa Core Processor,16 GB,Windows 11 Operating System,DDR4 RAM,HP,512 GB,SSD
39990,Intel Core i5 Processor,8 GB,Windows 11 Operating System,DDR4 RAM,RedmiBook,512 GB,SSD
36990,Intel Core i3 Processor,8 GB,Windows 11 Operating System,DDR4 RAM,Lenovo,256 GB,SSD
78800,Intel Core i5 Processor,16 GB,Windows 11 Operating System,DDR4 RAM,HP,512 GB,SSD
29390,AMD Athlon Dual Core Processor,8 GB,Windows 11 Operating System,DDR4 RAM,HP,512 GB,SSD
38705,AMD Ryzen 5 Quad Core Processor,8 GB,Windows 11 Operating System,DDR4 RAM,Lenovo,512 GB,SSD
30990,Intel Core i3 Processor,8 GB,Windows 11 Operating System,LPDDR4X RAM,Infinix,256 GB,SSD
62490,Intel Core i5 Processor,16 GB,Windows 11 Operating System,DDR4 RAM,Lenovo,512 GB,SSD
89990,Intel Core i7 Processor,16 GB,Windows 11 Operating System,DDR4 RAM,ASUS,512 GB,SSD
58899,Intel Core i5 Processor,8 GB,Windows 11 Operating System,DDR4 RAM,HP,512 GB,SSD
85990,Intel Core i5 Processor,16 GB,Windows 11 Operating System,DDR4 RAM,MSI,512 GB,SSD
33099,,8 GB,Windows 11 Operating System,DDR4 RAM,DELL,1 TB,HDD
85990,AMD Ryzen 7 Octa Core Processor,16 GB,Windows 11 Operating System,DDR4 RAM,ASUS,1 TB,SSD
